labels,ext_heter_graph,ext_matchsumm,abs_bart,ext_refresh,abs_two_stage_rl,abs_neusumm,abs_bottom_up,abs_semsim,abs_unilm,ext_bart,ext_banditsumm
inference,0.8724842667579651,0.8743934631347656,0.9082621932029724,0.8647452592849731,0.8722771406173706,0.8734392523765564,0.8526206612586975,0.9144976735115051,0.8932910561561584,0.921466052532196,0.8669369220733643
paraphrase,0.8750101327896118,0.8882752060890198,0.8936858177185059,0.8754162788391113,0.8856011033058167,0.8868999481201172,0.8746858835220337,0.8804534673690796,0.8800082206726074,0.8971388339996338,0.8928186893463135
entity,0.8776981830596924,0.8706079125404358,0.8696411848068237,0.8553566336631775,0.8713158369064331,0.8848658204078674,0.8823907375335693,0.868979275226593,0.8622894287109375,0.8693848252296448,0.8790615200996399
inference,0.8809195756912231,0.8902187943458557,0.9143043756484985,0.8804244995117188,0.8698040843009949,0.8949210047721863,0.8828457593917847,0.9115257859230042,0.8804359436035156,0.8986724019050598,0.8941765427589417
paraphrase,0.8755618333816528,0.8861903548240662,0.8740924596786499,0.8721456527709961,0.8843286037445068,0.8928576707839966,0.8847337961196899,0.8824231624603271,0.8686097264289856,0.8816009759902954,0.8732872009277344
inference,0.8799948692321777,0.865047812461853,0.8862586617469788,0.8648263216018677,0.876861572265625,0.8830639719963074,0.868535578250885,0.8810620307922363,0.8686738014221191,0.8837062120437622,0.8803001046180725
paraphrase,0.8646252751350403,0.8684266805648804,0.8513572812080383,0.8546426892280579,0.8762012124061584,0.858097493648529,0.8556618094444275,0.8622676134109497,0.8702604174613953,0.8517338037490845,0.860840380191803
inference,0.8487478494644165,0.8606326580047607,0.8566997051239014,0.8472345471382141,0.843800961971283,0.8611879348754883,0.8473333120346069,0.8445633053779602,0.8694013357162476,0.8646710515022278,0.844515323638916
evidence,0.8897122740745544,0.8693019151687622,0.8712036609649658,0.870668888092041,0.8908820152282715,0.8796753287315369,0.8993991613388062,0.8933714628219604,0.8742426037788391,0.8880128264427185,0.8901470899581909
inference,0.9084520936012268,0.9086441397666931,0.877829909324646,0.8891865611076355,0.8687148094177246,0.8889790773391724,0.8648490905761719,0.8947907090187073,0.8629570007324219,0.8797785639762878,0.9025874137878418
paraphrase,0.8762619495391846,0.8753764629364014,0.8910650610923767,0.8673120737075806,0.885423481464386,0.8646982312202454,0.8675066828727722,0.9082034826278687,0.902518093585968,0.9030684232711792,0.8629674315452576
evidence,0.87452232837677,0.8756851553916931,0.8733095526695251,0.8504220843315125,0.8663321733474731,0.8670611381530762,0.8622136116027832,0.8739778995513916,0.8772838115692139,0.8810005784034729,0.8730762004852295
inference,0.8794282078742981,0.880696177482605,0.887227475643158,0.8533213138580322,0.89158695936203,0.8779264688491821,0.8680762052536011,0.9406277537345886,0.891757071018219,0.8903309106826782,0.8825693726539612
paraphrase,0.881832480430603,0.8865318298339844,0.8917246460914612,0.8890680074691772,0.8735991716384888,0.8974313139915466,0.8898093700408936,0.8796611428260803,0.8752641677856445,0.8767725825309753,0.887070894241333
inference,0.8439041376113892,0.8493936061859131,0.9151208996772766,0.8071448802947998,0.8759925365447998,0.8496715426445007,0.8538509607315063,0.9026650190353394,0.8718025088310242,0.9049065709114075,0.8443459868431091
evidence,0.8607901334762573,0.8452737331390381,0.8911901712417603,0.8791337013244629,0.8518509864807129,0.8729094862937927,0.8557882308959961,0.8744996786117554,0.9029654264450073,0.8918174505233765,0.8723601698875427
paraphrase,0.8872038125991821,0.8946662545204163,0.9265941977500916,0.8797007203102112,0.9032117128372192,0.8912434577941895,0.9024217128753662,0.9103910326957703,0.9070786237716675,0.9395684003829956,0.8866881728172302
evidence,0.8748618364334106,0.9156061410903931,0.9111122488975525,0.875587522983551,0.8870764970779419,0.8856080174446106,0.8652476072311401,0.9010030031204224,0.8997247219085693,0.8956323266029358,0.8759555220603943
inference,0.8388870358467102,0.8541936278343201,0.8581079244613647,0.858610987663269,0.8628880381584167,0.8633652329444885,0.8299872279167175,0.8650702238082886,0.8809548616409302,0.9014050364494324,0.8142793774604797
paraphrase,0.9140058159828186,0.9300367832183838,0.9297903776168823,0.8857517838478088,0.9240508079528809,0.9018495082855225,0.9317607879638672,0.9232513904571533,0.9142249226570129,0.9314719438552856,0.911858856678009
entity,0.8849431276321411,0.8893998861312866,0.8889778852462769,0.871533215045929,0.8763871788978577,0.887263298034668,0.9048081040382385,0.901376485824585,0.8950012922286987,0.9039126634597778,0.8889999389648438
paraphrase,0.8757111430168152,0.8869634866714478,0.8930686116218567,0.8783290386199951,0.8852328658103943,0.8891865015029907,0.8749849200248718,0.8798978328704834,0.8881900310516357,0.8748899102210999,0.8762465119361877
evidence,0.8845816254615784,0.8957463502883911,0.898264467716217,0.8965770602226257,0.8935033082962036,0.918804407119751,0.9194732308387756,0.898984968662262,0.9030571579933167,0.9012380838394165,0.9123436808586121
paraphrase,0.8923373818397522,0.8948522210121155,0.8673771619796753,0.876177966594696,0.8750444650650024,0.8899471759796143,0.8892865777015686,0.861998975276947,0.879984438419342,0.8913518190383911,0.8972243070602417
extractive,0.9113702774047852,0.9040117859840393,0.9528583288192749,0.8475074768066406,0.8918823599815369,0.8950700163841248,0.9076532125473022,0.9441439509391785,0.8895649313926697,0.9279024600982666,0.897400975227356
paraphrase,0.8696466088294983,0.8553534746170044,0.9038308262825012,0.8571107983589172,0.8789870142936707,0.8643004298210144,0.8714252710342407,0.8749302625656128,0.8878154754638672,0.8645535707473755,0.8654693961143494
paraphrase,0.8902471661567688,0.8849740028381348,0.9072070717811584,0.8881030082702637,0.9026600122451782,0.9045027494430542,0.8987849950790405,0.9100767374038696,0.8879607915878296,0.9221306443214417,0.9125180244445801
paraphrase,0.8871086239814758,0.879551351070404,0.873343825340271,0.8729743361473083,0.9091160893440247,0.8940426111221313,0.8796867728233337,0.8896828889846802,0.9053816199302673,0.9081884622573853,0.890246570110321
inference,0.900978147983551,0.9150274395942688,0.8920944929122925,0.8490797877311707,0.8693997859954834,0.8704583644866943,0.885258138179779,0.8817652463912964,0.8840622305870056,0.8641833066940308,0.8876433968544006
paraphrase,0.8696311116218567,0.867466151714325,0.8722547888755798,0.8534649610519409,0.8734486699104309,0.8696892261505127,0.8958322405815125,0.8635290861129761,0.8951613306999207,0.8873916268348694,0.8702438473701477
inference,0.8790798783302307,0.8771828413009644,0.8854249715805054,0.8715611696243286,0.8776267766952515,0.8816190958023071,0.869422197341919,0.8782312870025635,0.8785873055458069,0.891778826713562,0.8806642293930054
extractive,0.8928801417350769,0.8858435153961182,0.8945032358169556,0.888441264629364,0.8881222605705261,0.9047569632530212,0.8997373580932617,0.887202799320221,0.8702887892723083,0.8916712999343872,0.9086275696754456
paraphrase,0.8640953302383423,0.8506906032562256,0.8633941411972046,0.8672263026237488,0.8514575362205505,0.878304123878479,0.859418511390686,0.8788280487060547,0.8801286220550537,0.8780860900878906,0.8691160082817078
extractive,0.8653079867362976,0.836212158203125,0.8876968622207642,0.8549394607543945,0.8681972026824951,0.865509569644928,0.8507243394851685,0.8666623830795288,0.899116575717926,0.8834519982337952,0.85132896900177
inference,0.8568087220191956,0.8571162819862366,0.8846364617347717,0.8588739633560181,0.8550640344619751,0.858874499797821,0.8582020401954651,0.8760448098182678,0.8579197525978088,0.8772621750831604,0.8676624894142151
inference,0.8450524210929871,0.8801181316375732,0.8424705862998962,0.8266156911849976,0.8681766986846924,0.8532813787460327,0.8390920758247375,0.8455352187156677,0.8536660671234131,0.8574636578559875,0.8782768249511719
paraphrase,0.9114726781845093,0.9067030549049377,0.89058518409729,0.8980980515480042,0.8976870179176331,0.9092689156532288,0.904586672782898,0.9091140031814575,0.9055200219154358,0.8876059651374817,0.9052043557167053
paraphrase,0.9165913462638855,0.9274980425834656,0.9281808137893677,0.9088419079780579,0.9183664321899414,0.9334650635719299,0.9184520244598389,0.9269055724143982,0.8772592544555664,0.9338488578796387,0.9274980425834656
paraphrase,0.8746251463890076,0.8837761878967285,0.8662558794021606,0.8658927083015442,0.8627139329910278,0.8814465403556824,0.8799283504486084,0.8860793113708496,0.8743355870246887,0.8816219568252563,0.8751203417778015
inference,0.8671835064888,0.8574275970458984,0.8951622843742371,0.8665390610694885,0.8946795463562012,0.8777130246162415,0.9043565392494202,0.9051629304885864,0.9055275321006775,0.8936008810997009,0.8645880818367004
