labels,tconvs2s,presumm_ext_abs,presumm_abs,pgn,presumm_trans,lead,ext_oracle,bart,convs2s
entity,0.19903542790227668,0.2158306310977427,0.2062678579836793,0.13286396022428848,0.24646363268880178,0.09750114808494748,0.1822543091126957,0.4652968784609468,0.21512534234969083
entity,0.24420055756198578,0.3655221776350006,0.30043863475918586,0.19930159537223435,0.16200974509635535,0.030194869409017278,0.030786007182568076,0.3542921919370223,0.1813088559553332
inference,0.08448172266970766,0.3802701918942959,0.33527841070680164,0.2674406593521832,0.2542911476635834,0.0128821714546139,0.18819315786136515,0.22986378707095856,0.06187858532197388
incomplete,0.07143824072496585,0.02149190266162504,-0.04717524376987403,-0.004586915636459743,0.03861295444849411,-0.09755035646069432,0.029548216531423144,0.02137797765143068,0.04623463450281362
inference,0.2559880014524184,0.37680102831706264,0.5163034922567388,0.2210550570582711,0.252287285252369,0.12649942388067859,0.0979041352445551,0.33130605886426845,0.33688869287142365
evidence,0.11230504010244724,0.23155137465142206,0.16897063220206154,0.19124641783286966,0.21256231202367104,0.10729807095460275,0.03316974110681015,0.21470821621050817,0.15576090364357098
paraphrase,0.19420611960288636,0.267739045769227,0.29821016357587593,0.09958829670425562,0.18371935526251915,0.19225744606171125,0.2723413684455449,0.5894032263744524,0.12335665177850486
entity,0.2732419831710876,0.31233399526822625,0.29310435266213475,0.1999078070096918,0.24428220124532019,0.08989543017611912,0.03469978015610009,0.28532191864220446,0.20647105487927664
evidence,0.02991800626090857,0.047435358357586166,0.01784253078655129,0.024945161291108353,0.07587854175795838,0.06212292933686425,0.0878928720981258,0.100773446932786,-0.002003915269583656
entity,0.38434975277574734,0.3579448333916202,0.2826503648017593,0.25612145320893154,0.19905333178008866,0.12728042426181196,0.2824997965026612,0.32449259228457394,0.28488593808225127
evidence,0.12377208079085844,0.10966994845478895,0.10864497922602845,0.054808494389940066,0.054331474338173646,0.044654380997473986,-0.039944632765624544,0.0895536640378437,0.12050612033095609
entity,0.17100655329815817,0.31336034899974363,0.3634045731845692,0.2111677703770184,0.20139550693982233,0.17022952404652625,0.15149864727116802,0.3566270890375982,0.14427760529690914
entity,0.16333415063112,0.246923638368016,0.3644714583032367,0.11850939179803,0.060222360802256736,0.07055561855283687,0.13211790635386955,0.44140755956675415,0.07813662413046596
entity,0.21000219676767695,0.29846702772049616,0.4630495452427599,0.19810363657820507,0.34957314262303574,0.19494091635309108,0.23827827348204633,0.4108029881057922,0.2422856614648421
evidence,0.2776325486247938,0.3205088712926618,0.3228499370435388,0.389433613114025,0.27053957918535865,0.047520900563948754,0.15402920705863288,0.27377828556536143,0.26565211735288163
inference,0.32398156268775824,0.2814563331647323,0.2808182406522872,0.2704035108448388,0.27977308098306697,0.1972618923630518,0.1484589017334481,0.31939240116060663,0.35308029791883355
entity,0.2646384322468144,0.4084958652346635,0.3981027809079837,0.11473215921765823,0.19672193622847867,0.002500265181532013,0.17006910334110026,0.37408419642755886,0.3198032961887214
inference,0.0978527656436885,0.23628423649139108,0.2715340892140752,0.07550752619105605,0.24838405969117205,0.19345463676815844,0.19213730169214793,0.33805611996257967,0.33878073680845144
entity,0.02346855641037049,0.10864053021617281,0.054025920825457874,0.12501376068357872,0.04574483448553368,0.059237715283502745,0.039635186059064687,0.16154911522684579,0.07013998930122256
inference,0.23348455502761822,0.356438678857969,0.4066314870710037,0.2661125427718053,0.40081158009829654,0.11155953475742053,0.21899293002675546,0.5543701684786659,0.2889893126753742
entity,0.2789642153835974,0.3362170011552581,0.3194952594200233,0.2492824161029099,0.242931899581859,0.13455343491522487,0.1285993231108742,0.5283986788758221,0.2793127423144419
entity,0.16310348181225376,0.20225449660358386,0.24005206394115441,0.21256082087128025,0.08556238641114444,0.0912615164141708,0.10663813222252727,0.21015634132838512,0.18265223076087223
entity,-0.015900373964457426,0.007742476391560338,0.05236125105795142,0.013785710567457254,0.024307331425015843,0.027958654394973803,0.14427200777973748,0.35647402339112133,-0.008914032216772672
inference,0.13283664502265613,0.3302643843230918,0.3079745385745639,0.14091153043673088,0.14532755237987027,0.11784313853477069,0.1479703572675315,0.3067728676844269,0.08224826331816337
paraphrase,0.11255767903518166,0.27287127895403795,0.4747258409510715,0.15853281424246402,0.2304122735633135,0.12966948912793752,0.1934148376346705,0.35918115808242557,0.11101572987748387
entity,0.50970189259303,0.5495554668692072,0.5009981506478254,0.28502760321857945,0.493642248725946,0.18538541852319967,0.1754713442018211,0.3926479511472827,0.3291063620750272
paraphrase,0.22593084141231534,0.24251171527716697,0.23532675748618348,0.22453741088174928,0.24476823296830674,0.002915758436839,0.13146549627274973,0.27305016987037267,0.23229677623672784
entity,-0.02570335999236706,0.24771266107724577,0.3830102569486278,-0.02105519838015435,0.08000372216945995,0.03657485397495264,0.07900856086105601,0.12315694183009607,-0.020700282110801105
inference,0.3625998039024316,0.38126260120775335,0.25055147103490016,0.28543068559514473,0.2583617100895801,0.2437700050766305,0.14509623883654899,0.4364272509129389,0.2514029150076479
inference,0.15831182864574045,0.22056365929146204,0.2596343941444167,0.21160491462250053,0.2250205619788468,0.010989802595665621,0.13832122233263822,0.32835021362143346,0.2250226727764284
entity,0.3843285050997278,0.23428591055469739,0.15319439169633509,0.3599997599953675,0.40713820437847326,0.11601448008703108,0.21773015920029315,0.4222105313714426,0.37740088668202165
paraphrase,0.11522957443729398,0.1951454442710434,0.2979527398049724,0.3223225408731458,0.3014881426369256,0.18219387194640824,0.1970694299831034,0.4322727988587709,0.13239032802587725
evidence,0.23710566093277363,0.2961457597894743,0.2073333583075727,0.11690886523916921,0.23412466121719644,0.09634492938820005,0.10532312294195512,0.3466777015189412,0.30582176492607993
entity,0.2934584406094105,0.29159244368253456,0.3919656184863647,0.2779843388074761,0.2368695159503108,0.10392405930171733,0.19060004286243726,0.40060737171906846,0.2940147048202808
inference,0.04658424074017975,0.08659460510036643,0.0324435088708096,-0.00488083017272678,-0.1033330822646692,0.11987314409672589,0.06149170647521607,0.06647359894910143,0.07453876468926945
paraphrase,0.14347762507118156,0.21935485738418947,0.19694391838280068,0.18006122364470079,0.14112175244722214,0.0761561429934372,0.1782113953720602,0.3329704468739487,0.08857585299518411
inference,0.33127940104958875,0.4921977109932685,0.43900229376668976,0.3254664192850334,0.46900397913281544,0.12421682879168783,0.10492766924111119,0.7052375021641171,0.26409166563972986
paraphrase,0.1791397738845567,0.2786060722526873,0.28879151469595,0.09625906581468513,0.18412320849755826,0.13753769057443455,0.24958577265438187,0.2689943798404799,0.2451183718130603
paraphrase,0.044831758783107745,0.13725768687800255,0.17917562179758173,-0.020041665390233554,-0.017136704554484794,0.009783316246331775,0.16779877913378405,0.2457570222340938,-0.06369908061700058
entity,0.38308059216033874,0.3616546552911394,0.3992938817475594,0.25711527572253445,0.32899225663415144,0.09422826633182446,0.10806023019249933,0.38830667864469226,0.31637810245542985
entity,0.31441037490370505,0.3034831697102801,0.2874154701850695,0.2603977339078164,0.25573639855281805,0.1274274164448952,0.14664263544506317,0.3696126583953083,0.3548495558081616
entity,0.24143659027380404,0.3330236860810829,0.23061164657108346,0.05793921461836238,0.25738520983717494,0.11585064543423129,0.1610459789832429,0.2970295001572113,0.1864955500342037
entity,0.09133728161285382,0.3312975051380468,0.1588664737727219,0.13265658364880928,0.1537713308921933,0.30603425599476153,0.30513600265291485,0.35856723511769717,0.0652590322655916
inference,0.12053870440673342,0.30854537487536504,0.3412607270154808,0.12704540859216418,0.13727662356725723,-0.0037610596190040813,0.21897375393945706,0.4729788854696627,0.06701478867371669
